?ÁNH GIÁ MÔ HÌNH H?C MÁY								
								
								
Air.Flow	Water.Temp	Acid.Conc.	stack.loss actual	stack.loss predicted	Residual	MSE	RMSE	MAPE
80	27	89	42	38.7645	3.2355	10.46846025		0.077035714
80	27	88	37	38.9166	1.9166	3.67335556		0.0518
75	25	90	37	32.4438	4.5562	20.75895844		0.123140541
62	24	87	28	22.302	5.698	32.467204		0.2035
62	22	87	18	19.7114	1.7114	2.92888996		0.095077778
62	23	87	18	21.0067	3.0067	9.04024489		0.167038889
62	24	93	19	21.3894	2.3894	5.70923236		0.125757895
62	24	93	20	21.3894	1.3894	1.93043236		0.06947
58	23	87	15	18.1443	3.1443	9.88662249		0.20962
58	18	80	14	12.7325	1.2675	1.60655625		0.090535714
58	18	89	14	11.3636	2.6364	6.95060496		0.188314286
58	17	88	13	10.2204	2.7796	7.72617616		0.213815385
58	18	82	11	12.4283	1.4283	2.04004089		0.129845455
58	19	93	12	12.0505	0.0505	0.00255025		0.004208333
50	18	89	8	5.6388	2.3612	5.57526544		0.29515
50	18	86	7	6.0951	0.9049	0.81884401		0.129271429
50	19	72	8	9.5198	1.5198	2.30979204		0.189975
50	19	79	8	8.4551	0.4551	0.20711601		0.0568875
50	20	80	9	9.5983	0.5983	0.35796289		0.066477778
56	20	82	15	13.5877	1.4123	1.99459129		0.094153333
70	20	91	15	22.2372	7.2372	52.37706384		0.48248
?ây là các ?? ?o ?? ?ánh giá mô hình					2.3666	8.515712588	2.91816939	15%
